t,tau,S_star,S_star_raw,K_minus_S_star,dS
0.05656249999999996,0.9434375,81.13321278794963,81.125,18.86678721205037,0.125
0.05687500000000001,0.943125,81.13487085042479,81.125,18.86512914957521,0.125
0.05718749999999995,0.9428125,81.13655969829006,81.125,18.863440301709943,0.125
0.057499999999999996,0.9425,81.1382802902407,81.125,18.8617197097593,0.125
0.05781249999999993,0.9421875000000001,81.14003363413043,81.125,18.859966365869568,0.125
0.05812499999999998,0.941875,81.14182079086258,81.125,18.85817920913742,0.125
0.05843750000000003,0.9415625,81.14364287928373,81.125,18.856357120716268,0.125
0.05874999999999997,0.94125,81.14550108088628,81.125,18.854498919113723,0.125
0.05906250000000002,0.9409375,81.14739664642892,81.125,18.852603353571084,0.125
0.059374999999999956,0.940625,81.14933090145963,81.125,18.850669098540365,0.125
0.059687500000000004,0.9403125,81.15130525576704,81.125,18.848694744232958,0.125
0.05999999999999994,0.9400000000000001,81.15332120943543,81.125,18.846678790564567,0.125
0.06031249999999999,0.9396875,81.15538036725309,81.125,18.844619632746912,0.125
0.06062499999999993,0.9393750000000001,81.15748444407377,81.125,18.842515555926227,0.125
0.06093749999999998,0.9390625,81.15963528869713,81.125,18.84036471130287,0.125
0.06125000000000003,0.93875,81.16183488478585,81.125,18.838165115214153,0.125
0.061562499999999964,0.9384375,81.16408539410334,81.125,18.83591460589666,0.125
0.06187500000000001,0.938125,81.16638914287756,81.125,18.833610857122437,0.125
0.06218749999999995,0.9378125,81.16874870692259,81.125,18.831251293077415,0.125
0.0625,0.9375,81.17116685678636,81.125,18.828833143213643,0.125
0.06281249999999994,0.9371875000000001,81.17364673820944,81.125,18.82635326179056,0.125
0.06312499999999999,0.936875,81.17619170701958,81.125,18.823808292980416,0.125
0.06343750000000004,0.9365625,81.1788057348419,81.125,18.8211942651581,0.125
0.06374999999999997,0.93625,81.18149295492984,81.125,18.818507045070163,0.125
0.06406250000000002,0.9359375,81.18425861846777,81.125,18.815741381532234,0.125
0.06437499999999996,0.935625,81.18710788252773,81.125,18.812892117472273,0.125
0.06468750000000001,0.9353125,81.19004815675662,81.125,18.809951843243383,0.125
0.06499999999999995,0.935,81.19308587808698,81.125,18.806914121913024,0.125
0.0653125,0.9346875,81.196232496402,81.125,18.803767503597996,0.125
0.06562499999999993,0.9343750000000001,81.19949576186994,81.125,18.80050423813006,0.125
0.06593749999999998,0.9340625,81.20289566647382,81.125,18.79710433352618,0.125
0.06625000000000003,0.93375,81.20644014563416,81.125,18.79355985436584,0.125
0.06656249999999997,0.9334375,81.21016997448176,81.125,18.789830025518242,0.125
0.06687500000000002,0.933125,81.21408724279523,81.125,18.78591275720477,0.125
0.06718749999999996,0.9328125,81.21829281743256,81.125,18.781707182567445,0.125
0.0675,0.9325,81.22275539321983,81.125,18.777244606780172,0.125
0.06781249999999994,0.9321875000000001,81.22780120842607,81.125,18.772198791573928,0.125
0.06812499999999999,0.931875,81.2332193343766,81.125,18.7667806656234,0.125
0.06843749999999993,0.9315625000000001,81.24098461397968,81.125,18.759015386020323,0.125
0.06874999999999998,0.93125,81.2041639909382,81.25,18.7958360090618,0.125
0.06906250000000003,0.9309375,81.20501717504331,81.25,18.79498282495669,0.125
0.06937499999999996,0.930625,81.20588142327618,81.25,18.794118576723818,0.125
0.06968750000000001,0.9303125,81.20675695302721,81.25,18.79324304697279,0.125
0.06999999999999995,0.93,81.2076439875373,81.25,18.792356012462704,0.125
0.0703125,0.9296875,81.20854275612668,81.25,18.791457243873325,0.125
0.07062499999999994,0.9293750000000001,81.209453494371,81.25,18.790546505628996,0.125
0.07093749999999999,0.9290625,81.21037644437286,81.25,18.789623555627145,0.125
0.07125000000000004,0.92875,81.21131185497907,81.25,18.788688145020927,0.125
0.07156249999999997,0.9284375,81.21225998202,81.25,18.78774001798,0.125
0.07187500000000002,0.928125,81.21322108858196,81.25,18.78677891141804,0.125
0.07218749999999996,0.9278125,81.21419544528815,81.25,18.785804554711845,0.125
0.07250000000000001,0.9275,81.21518333056186,81.25,18.784816669438143,0.125
0.07281249999999995,0.9271875,81.21618503095928,81.25,18.78381496904072,0.125
0.073125,0.926875,81.21720084144457,81.25,18.782799158555434,0.125
0.07343749999999993,0.9265625000000001,81.21823106576572,81.25,18.78176893423428,0.125
0.07374999999999998,0.92625,81.21927601678027,81.25,18.78072398321973,0.125
0.07406250000000003,0.9259375,81.22033601682705,81.25,18.779663983172952,0.125
0.07437499999999997,0.925625,81.22141139811755,81.25,18.778588601882447,0.125
0.07468750000000002,0.9253125,81.2225025031489,81.25,18.777497496851097,0.125
0.07499999999999996,0.925,81.2236096851341,81.25,18.776390314865907,0.125
0.0753125,0.9246875,81.22473330845988,81.25,18.775266691540125,0.125
0.07562499999999994,0.9243750000000001,81.22587374918014,81.25,18.77412625081986,0.125
0.07593749999999999,0.9240625,81.2270313955062,81.25,18.772968604493798,0.125
0.07624999999999993,0.9237500000000001,81.22820664838625,81.25,18.771793351613752,0.125
0.07656249999999998,0.9234375,81.22939992204215,81.25,18.77060007795785,0.125
0.07687500000000003,0.923125,81.23061164462244,81.25,18.769388355377558,0.125
0.07718749999999996,0.9228125,81.23184225883027,81.25,18.76815774116973,0.125
0.07750000000000001,0.9225,81.23309222263153,81.25,18.766907777368473,0.125
0.07781249999999995,0.9221875,81.2343620099823,81.25,18.765637990017694,0.125
0.078125,0.921875,81.23565211164922,81.25,18.764347888350784,0.125
0.07843749999999994,0.9215625000000001,81.23696303602753,81.25,18.763036963972468,0.125
0.07874999999999999,0.92125,81.23829531006788,81.25,18.761704689932117,0.125
0.07906250000000004,0.9209375,81.23964948026085,81.25,18.76035051973915,0.125
0.07937499999999997,0.920625,81.24102611365011,81.25,18.758973886349892,0.125
0.07968750000000002,0.9203125,81.24242579900825,81.25,18.757574200991755,0.125
0.07999999999999996,0.92,81.24384914802239,81.25,18.75615085197761,0.125
0.08031250000000001,0.9196875,81.24529679662304,81.25,18.754703203376963,0.125
0.08062499999999995,0.919375,81.24676940642549,81.25,18.753230593574514,0.125
0.0809375,0.9190625,81.24826766625455,81.25,18.75173233374545,0.125
0.08124999999999993,0.9187500000000001,81.24979229385457,81.25,18.75020770614543,0.125
0.08156249999999998,0.9184375,81.25134403771656,81.25,18.748655962283436,0.125
0.08187500000000003,0.918125,81.25292367911095,81.25,18.74707632088905,0.125
